id,name_en,name_km,kind,parent_id,latitude,longitude
01,Banteay Meanchey,បន្ទាយមានជ័យ,province,,13.813,102.892
02,Battambang,បាត់ដំបង,province,,13.121,103.112
03,Kampong Cham,កំពង់ចាម,province,,12.134,105.123
04,Kampong Chhnang,កំពង់ឆ្នាំង,province,,12.184,104.447
05,Kampong Speu,កំពង់ស្ពឺ,province,,11.588,104.167
06,Kampong Thom,កំពង់ធំ,province,,12.841,104.875
07,Kampot,កំពត,province,,10.903,104.167
08,Kandal,កណ្ដាល,province,,11.418,104.897
09,Koh Kong,កោះកុង,province,,11.566,103.297
10,Kratie,ក្រចេះ,province,,12.664,105.977
11,Mondul Kiri,មណ្ឌលគិរី,province,,12.782,106.873
12,Phnom Penh,ភ្នំពេញ,province,,11.59,104.844
13,Preah Vihear,ព្រះវិហារ,province,,13.79,104.867
14,Prey Veng,ព្រៃវែង,province,,11.4001,105.4011
15,Pursat,ពោធិ៍សាត់,province,,12.38,103.599
16,Ratanak Kiri,រតនគិរី,province,,13.84,107.005
17,Siemreap,សៀមរាប,province,,13.37,103.862
18,Preah Sihanouk,ព្រះសីហនុ,province,,10.632,103.532
19,Stung Treng,ស្ទឹងត្រែង,province,,13.761,105.953
20,Svay Rieng,ស្វាយរៀង,province,,11.144,105.771
21,Takeo,តាកែវ,province,,10.96,104.714
22,Oddar Meanchey,ឧត្ដរមានជ័យ,province,,14.191,103.602
23,Kep,កែប,province,,10.4878,104.2987
24,Pailin,ប៉ៃលិន,province,,12.878,102.572
25,Tboung Khmum,ត្បូងឃ្មុំ,province,,11.953,105.718
